Congregation,National_Affiliation,Sub_Affiliations,Name,Building_Type,Congregation_Race,Cross_Street,Street_Address,City_State,Zip_Code,Full Address,Latitude,Longitude
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Holy Cross College,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,4950 Dauphine St.,"New Orleans, Louisiana",70117,"4950 Dauphine St. New Orleans, Louisiana 70117",29.959582,-90.024267
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Immaculate Conception High School,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,3037 Dauphine St.,"New Orleans, Louisiana",70117,"3037 Dauphine St. New Orleans, Louisiana 70117",29.9648763,-90.0459629
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Jesuit High School,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,4133 Banks St.,"New Orleans, Louisiana",70119,"4133 Banks St. New Orleans, Louisiana 70119",29.9732939,-90.103402
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Loyola University of the South,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,6363 St. Charles Ave.,"New Orleans, Louisiana",70118,"6363 St. Charles Ave. New Orleans, Louisiana 70118",29.9347795,-90.1208818
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Mt . Carmel Academy,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,420 Robert E. Lee Blvd.,"New Orleans, Louisiana",70124,"420 Robert E. Lee Blvd. New Orleans, Louisiana 70124",30.0192125,-90.1096949
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Aloysius' High School,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,1137 Esplanade Ave.,"New Orleans, Louisiana",70116,"1137 Esplanade Ave. New Orleans, Louisiana 70116",29.9662827,-90.0635917
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Joseph's Academy,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,2116 Ursuline Ave.,"New Orleans, Louisiana",70116,"2116 Ursuline Ave. New Orleans, Louisiana 70116",29.9697202,-90.0745694
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Louis School (Colored),"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",Black,full address provided,1939 Dauphine St.,"New Orleans, Louisiana",70116,"1939 Dauphine St. New Orleans, Louisiana 70116",29.9655942,-90.0592755
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Mary's Academy (Colored),"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",Black,full address provided,717 Orleans St.,"New Orleans, Louisiana",70116,"717 Orleans St. New Orleans, Louisiana 70116",29.9587478,-90.0646591
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Mary's Dominican College,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,7214 St. Charles Ave.,"New Orleans, Louisiana",70118,"7214 St. Charles Ave. New Orleans, Louisiana 70118",29.9367294,-90.1279014
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Ursuline College and Academy,"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",White,full address provided,2635 State St.,"New Orleans, Louisiana",70118,"2635 State St. New Orleans, Louisiana 70118",29.9410557,-90.1136928
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Xavier Preparatory School (Colored),"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",Black,full address provided,5116 Magazine St.,"New Orleans, Louisiana",70115,"5116 Magazine St. New Orleans, Louisiana 70115",29.920088,-90.1102761
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Xavier University (Colored),"Seminary, Private Academies, High Schools, Colleges, Normal Schools and Universities",Black,full address provided,3912 Pine St.,"New Orleans, Louisiana",70125,"3912 Pine St. New Orleans, Louisiana 70125",29.9646042,-90.1063709
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Associated Catholic Charities,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,348 Camp Street,"New Orleans, Louisiana",70130,"348 Camp Street New Orleans, Louisiana 70130",29.9500365,-90.0691504
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Cabrini Day Home,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,817 St. Philip St.,"New Orleans, Louisiana",70116,"817 St. Philip St. New Orleans, Louisiana 70116",29.9615489,-90.0637104
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Catholic Women's Club for Working Girls,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,207 Camp St.,"New Orleans, Louisiana",70130,"207 Camp St. New Orleans, Louisiana 70130",29.9515451,-90.0689142
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Catholic Youth 0rganization,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,3778 Gentilly Road,"New Orleans, Louisiana",70122,"3778 Gentilly Road New Orleans, Louisiana 70122",30.002966,-90.0482245
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Charity Hospital (State Institution),"Home, Welfare Agencies and Institutions of Charity",White,full address provided,1532 Tulane Ave.,"New Orleans, Louisiana",70112,"1532 Tulane Ave. New Orleans, Louisiana 70112",29.9562341,-90.0770857
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,De Paul Sanitarium and Psychopathic Hospital,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,962 Henry Clay Ave.,"New Orleans, Louisiana",70118,"962 Henry Clay Ave. New Orleans, Louisiana 70118",29.9246736,-90.1239851
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Good Shepherd Convent,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,2601 Bienville St.,"New Orleans, Louisiana",70119,"2601 Bienville St. New Orleans, Louisiana 70119",29.9663451,-90.084433
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Hone for the Aged,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,1501 N. Johnson St.,"New Orleans, Louisiana",70119,"1501 N. Johnson St. New Orleans, Louisiana 70119",29.974195,-90.0707591
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Home of the Aged Poor,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,3618 Prytania St.,"New Orleans, Louisiana",70115,"3618 Prytania St. New Orleans, Louisiana 70115",29.9254663,-90.0936554
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,"Hotel Dieu, Hospital and Training School for Nurses","Home, Welfare Agencies and Institutions of Charity",White,full address provided,2004 Tulane Ave.,"New Orleans, Louisiana",70112,"2004 Tulane Ave. New Orleans, Louisiana 70112",29.9579677,-90.0829549
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Lafon Catholic Old Folks Home of the Holy Family (Colored),"Home, Welfare Agencies and Institutions of Charity",Black,full address provided,2428 Gov. NicholIs St.,"New Orleans, Louisiana",70119,"2428 Gov. NicholIs St. New Orleans, Louisiana 70119",29.9725121,-90.0767446
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Lafon Orphan Asylum for Colored Boys,"Home, Welfare Agencies and Institutions of Charity",Black,"Gentilly Road, R. F. D. No. 4, Box 242",6850 Chef Menteur Highway,"New Orleans, Louisiana",70126,"6850 Chef Menteur Highway New Orleans, Louisiana 70126",30.0113181,-90.0073934
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Louise Home for Working Girls and Day Nursery,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,1404 Clio St.,"New Orleans, Louisiana",70130,"1404 Clio St. New Orleans, Louisiana 70130",29.9398154,-90.0725416
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Loyola University Dental Clinic,"Home, Welfare Agencies and Institutions of Charity",White,Upper end of Loyola Ave. on the University Campus,6363 St Charles Ave.,"New Orleans, Louisiana",70118,"6363 St Charles Ave. New Orleans, Louisiana 70118",29.9347795,-90.1208818
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,"Mercy hospital, Leonce Soniat Memorial and Training School for Nurses","Home, Welfare Agencies and Institutions of Charity",White,full address provided,1321 Annunciation St.,"New Orleans, Louisiana",70130,"1321 Annunciation St. New Orleans, Louisiana 70130",29.9372434,-90.0690696
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,New Orleans Female Orphan asylum,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,1314 Napoleon Ave.,"New Orleans, Louisiana",70115,"1314 Napoleon Ave. New Orleans, Louisiana 70115",29.9246375,-90.1023892
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Sacred Heart 0rphan Asylum (Italian),"Home, Welfare Agencies and Institutions of Charity",Italian,full address provided,3400 Esplanade Ave.,"New Orleans, Louisiana",70119,"3400 Esplanade Ave. New Orleans, Louisiana 70119",29.9819285,-90.0874169
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. John Berchman's Asylum for Colored Girls,"Home, Welfare Agencies and Institutions of Charity",Black,full address provided,2710 Gentilly Road,"New Orleans, Louisiana",70122,"2710 Gentilly Road New Orleans, Louisiana 70122",29.994226,-90.06413
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Margaret's Daughters,"Home, Welfare Agencies and Institutions of Charity",White,314 Balter Bldg.,404 St. Charles Ave.,"New Orleans, Louisiana",70130,"404 St. Charles Ave. New Orleans, Louisiana",29.9503518,-90.0703726
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,St. Vincent's Infant Asylum,"Home, Welfare Agencies and Institutions of Charity",White,full address provided,1507 Magazine,"New Orleans, Louisiana",70130,"1507 Magazine New Orleans, Louisiana 70130",29.9341452,-90.0728883
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Society of St. Vincent de Paul,"Home, Welfare Agencies and Institutions of Charity",White,Balter Bldg.,404 St. Charles Ave.,"New Orleans, Louisiana",70130,"404 St. Charles Ave. New Orleans, Louisiana 70130",29.9503518,-90.0703726
Roman Catholic Church,Apostolic Delegate to the United States,Archdiocese of New Orleans,Xavier University School of Social Service (Colored),"Home, Welfare Agencies and Institutions of Charity",Black,full address provided,3912 Pine St.,"New Orleans, Louisiana",70125,"3912 Pine St. New Orleans, Louisiana",29.9646042,-90.1063709
